,ORIGEN,DESTINO,POR RENDIR S/
1614,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1615,"Canada, Lima, Peru","Oza, Peru",250
1616,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1617,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1618,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1619,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1620,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1621,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1622,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1623,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1624,"Lurin, Lima, Peru","Remsina sac, Lima, Peru",0
1625,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1626,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1627,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1628,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1629,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1631,"Lurin, Lima, Peru","Arequipa, Peru",450
1632,"Lurin, Lima, Peru","RMB, Lima, Peru",50
1633,"RMB, Lima, Peru","Lurin, Lima, Peru",0
1634,Suc. Piura,Entidad Piura,0
1635,"Trujillo, Peru","Canada, Lima, Peru",150
1636,"Macropolis, Lima, Peru","Faucett, Lima, Peru",50
1637,"Macropolis, Lima, Peru","Faucett, Lima, Peru",50
1638,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
1639,"Lurin, Lima, Peru","Remsina sac, Lima, Peru",50
1640,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1641,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1642,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1643,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1644,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1648,"Lurin, Lima, Peru","Canada, Lima, Peru",50
1649,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1651,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1652,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1653,"Lurin, Lima, Peru","Arequipa, Peru",250
1654,"Lurin, Lima, Peru","Arequipa, Peru",250
1655,"Lurin, Lima, Peru","Arequipa, Peru",250
1656,"Canada, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
1657,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1658,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1659,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1660,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1661,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1662,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1663,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1664,"Lurin, Lima, Peru","Trujillo, Peru",250
1666,"Lurin, Lima, Peru","Suc. Lambayeque, Peru",350
1667,"Canada, Lima, Peru","Lurin, Lima, Peru",0
1668,"Nicolas Ayllon, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1669,"Divemotor Panamericana Sur, Lima, Peru","Ica, Peru",0
1670,"Faucett, Lima, Peru","Lurin, Lima, Peru",50
1671,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1672,"Cpr, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",100
1673,"Cpr, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1674,"Trujillo, Peru","Huaraz, Peru",200
1675,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1676,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1677,"Av. Canada, Lima, Peru","Remsina sac, Lima, Peru",0
1678,"Av. Canada, Lima, Peru","Remsina sac, Lima, Peru",0
1679,"Icalu, Lima, Peru","Lurin, Lima, Peru",50
1680,"Icalu, Lima, Peru","Lurin, Lima, Peru",50
1681,"Lurin, Lima, Peru","Tingo Maria, Peru",250
1682,"Lurin, Lima, Peru","Tingo Maria, Peru",250
1683,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1684,"Lurin, Lima, Peru","Moquegua, Peru",400
1687,"Nicolas Ayllon, Lima, Peru","Tingo Maria, Peru",250
1688,"Nicolas Ayllon, Lima, Peru","Tingo Maria, Peru",250
1689,"Macropolis, Lima, Peru","San Martin de Porres, Lima, Peru",50
1690,"Lurin, Lima, Peru","Canada, Lima, Peru",0
1691,"Lurin, Lima, Peru","Canada, Lima, Peru",0
1692,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1693,"Trujillo, Peru","Canada, Lima, Peru",0
1694,"Macropolis, Lima, Peru","Lurin, Lima, Peru",0
1695,"Macropolis, Lima, Peru","Lurin, Lima, Peru",0
1696,"Macropolis, Lima, Peru","Lurin, Lima, Peru",0
1697,"Macropolis, Lima, Peru","Lurin, Lima, Peru",0
1698,"Macropolis, Lima, Peru","Lurin, Lima, Peru",50
1699,"Suc. Lambayeque, Peru","Lurin, Lima, Peru",250
1700,"Trujillo, Peru","Lurin, Lima, Peru",200
1701,"Ica, Peru","Macropolis, Lima, Peru",0
1702,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1703,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1704,"Samred, Lima, Peru","RMB, Lima, Peru",0
1707,"Lurin, Lima, Peru","Arequipa, Peru",0
1708,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1709,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1711,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1712,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1713,"Lurin, Lima, Peru","Trujillo, Peru",850
1714,"Lurin, Lima, Peru","Trujillo, Peru",300
1715,"Lurin, Lima, Peru","Trujillo, Peru",300
1716,"Lurin, Lima, Peru","Trujillo, Peru",300
1717,"RMB, Lima, Peru","Lurin, Lima, Peru",0
1718,"Trujillo, Peru","Macropolis, Lima, Peru",650
1719,"Samred, Lima, Peru","RMB, Lima, Peru",0
1720,"Samred, Lima, Peru","RMB, Lima, Peru",50
1721,"Macropolis, Lima, Peru","Solis, Lima, Peru",100
1722,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",100
1723,"RMB, Lima, Peru","Lurin, Lima, Peru",0
1724,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1725,"Canada, Lima, Peru","Tingo Maria, Peru",200
1726,"Canada, Lima, Peru","Tingo Maria, Peru",200
1727,"Canada, Lima, Peru","Faucett, Lima, Peru",50
1728,"Canada, Lima, Peru","Faucett, Lima, Peru",50
1729,"Macropolis, Lima, Peru","Sahuanay & cia S.A.C, Lima, Peru",50
1730,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",100
1731,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1732,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1733,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1734,"Trujillo, Peru","Lurin, Lima, Peru",250
1735,"Lurin, Lima, Peru","Arequipa, Peru",350
1736,"Trujillo, Peru","Faucett, Lima, Peru",250
1737,"Chosica, Lima, Peru","Aqp / Perumin // Aeropuerto Aqp, Peru",650
1738,"Lurin, Lima, Peru","Suc. Piura, Peru",0
1739,"Lurin, Lima, Peru","Suc. Piura, Peru",0
1740,"Macropolis, Lima, Peru","Samred, Lima, Peru",0
1741,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1742,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1743,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1744,"Trujillo, Peru","Lurin, Lima, Peru",250
1745,"Lurin, Lima, Peru","Arequipa, Peru",250
1746,"Remsina sac, Lima, Peru","Lurin, Lima, Peru",0
1747,"Famedi, Lima, Peru","Lurin, Lima, Peru",0
1748,"Lurin, Lima, Peru","Trujillo, Peru",0
1749,"Lurin, Lima, Peru","Trujillo, Peru",0
1750,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1751,"Lurin, Lima, Peru","Solis, Lima, Peru",100
1752,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1753,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1754,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
1755,"Lurin, Lima, Peru","Local Cliente Midas, Lima, Peru",50
1757,"Lurin, Lima, Peru","San Martin de Porres, Lima, Peru",50
1759,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1760,"Macropolis, Lima, Peru","Pesco, Lima, Peru",50
1761,"Macropolis, Lima, Peru","Pesco, Lima, Peru",50
1762,"Macropolis, Lima, Peru","Pesco, Lima, Peru",50
1764,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1770,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1771,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1773,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1785,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1786,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1787,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1789,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1790,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1791,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1792,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1793,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1794,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1795,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1801,"Lurin, Lima, Peru","Ica, Peru",100
1803,"Arequipa, Peru","RMB, Lima, Peru",300
1805,"Divemotor Panamericana Sur, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1806,"Divemotor Panamericana Sur, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1807,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1808,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1809,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1810,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1811,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1812,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1813,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1814,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1815,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",900
1816,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",900
1817,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",900
1818,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
1819,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
1820,"Macropolis, Lima, Peru","Sahuanay & cia S.A.C, Lima, Peru",50
1821,"Comisaria Mochumi, Peru","Trujillo, Peru",150
1822,"Cusco, Peru","Chosica, Lima, Peru",430
1823,"Cusco, Peru","Chosica, Lima, Peru",500
1824,"Cusco, Peru","Chosica, Lima, Peru",350
1825,"Cusco, Peru","Chosica, Lima, Peru",430
1826,"Lurin, Lima, Peru","Trujillo, Peru",450
1827,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1828,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1829,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1830,"Macropolis, Lima, Peru","RMB, Lima, Peru",50
1831,"Lurin, Lima, Peru","Arequipa, Peru",350
1832,"Lurin, Lima, Peru","Arequipa, Peru",350
1833,"Lurin, Lima, Peru","Suc. Piura, Peru",600
1834,"Lurin, Lima, Peru","Suc. Piura, Peru",400
1835,"Lurin, Lima, Peru","Arequipa, Peru",450
1836,"Pesco, Lima, Peru","Arequipa, Peru",750
1839,Arequipa,Aeropuerto,250
1841,Arequipa,Aeropuerto,100
1843,AQP Sistemas S.A.C,Arequipa,200
1844,AQP Sistemas S.A.C,Arequipa,0
1845,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",500
1850,"Tingo Maria, Peru","Canada, Lima, Peru",450
1851,"Tingo Maria, Peru","Canada, Lima, Peru",450
1852,"Divemotor Panamericana Sur, Lima, Peru","Nicolas Ayllon, Lima, Peru",400
1853,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",660
1854,"Divemotor Panamericana Sur, Lima, Peru","Nicolas Ayllon, Lima, Peru",950
1855,"Divemotor Panamericana Sur, Lima, Peru","Nicolas Ayllon, Lima, Peru",750
1856,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1857,"Camisaria Casma, Peru","Trujillo, Peru",450
1858,"Camisaria Casma, Peru","Trujillo, Peru",450
1859,"Camisaria Casma, Peru","Trujillo, Peru",450
1864,"Macropolis, Lima, Peru","Solis, Lima, Peru",150
1866,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",500
1867,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",350
1868,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",400
1869,"Solis, Lima, Peru","Trujillo, Peru",300
1870,"Lurin, Lima, Peru","Suc. Piura, Peru",400
1871,"Lurin, Lima, Peru","Trujillo, Peru",300
1872,"Lurin, Lima, Peru","Trujillo, Peru",300
1873,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
1879,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",200
1880,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1881,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",50
1882,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",150
1883,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",150
1884,"Divemotor Panamericana Sur, Lima, Peru",Suc. Piura,0
1885,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1886,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1887,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1888,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1889,"Av. Canada, Lima, Peru","Lurin, Lima, Peru",50
1892,"Sahuanay & cia S.A.C, Lima, Peru","Macropolis, Lima, Peru",50
1894,"Cpr, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1895,"Cpr, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1896,"Trujillo, Peru","Suc. Piura, Peru",300
1898,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1899,"Lurin, Lima, Peru","Trujillo, Peru",350
1900,"Lurin, Lima, Peru","Trujillo, Peru",350
1901,"Lurin, Lima, Peru","Trujillo, Peru",300
1902,"Lurin, Lima, Peru","Suc. Huancayo, Peru",250
1904,"Lurin, Lima, Peru","Suc. Huancayo, Peru",250
1906,"Lurin, Lima, Peru","Suc. Lambayeque, Peru",500
1907,"Lurin, Lima, Peru","Suc. Lambayeque, Peru",400
1908,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1909,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1910,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",400
1911,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1912,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",50
1913,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1914,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1915,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1916,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",100
1917,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1918,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1919,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1920,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
1921,"Lurin, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
1922,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1923,"Lurin, Lima, Peru","Incamotors Ica, Peru",250
1924,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1925,"Divemotor Panamericana Sur, Lima, Peru","Faucett, Lima, Peru",50
1926,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",500
1927,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",500
1928,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1929,"Divemotor Panamericana Sur, Lima, Peru","Lurin, Lima, Peru",0
1930,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1931,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1932,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1933,"Solis, Lima, Peru","Lurin, Lima, Peru",50
1936,"Faucett, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1937,"Faucett, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1938,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",0
1939,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1940,"Famedi, Lima, Peru","Lurin, Lima, Peru",50
1942,"Lurin, Lima, Peru","Suc. Huancayo, Peru",200
1943,"Lurin, Lima, Peru","Suc. Huancayo, Peru",200
1944,"Lurin, Lima, Peru","Chiclayo, Peru",450
1945,"Lurin, Lima, Peru","Chiclayo, Peru",350
1946,Suc. Piura,"Divemotor Panamericana Sur, Lima, Peru",0
1947,"Faucett, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1948,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1949,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1950,"Samred, Lima, Peru","RMB, Lima, Peru",50
1951,"Samred, Lima, Peru","RMB, Lima, Peru",50
1952,"Samred, Lima, Peru","RMB, Lima, Peru",50
1953,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1954,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1955,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1956,"RMB, Lima, Peru","Lurin, Lima, Peru",50
1957,"Cajamarca, Peru","Canada, Lima, Peru",200
1958,"Arequipa, Peru","Juliaca, Peru",200
1959,"Macropolis, Lima, Peru","Remsina sac, Lima, Peru",50
1961,"Cusco, Peru","Nicolas Ayllon, Lima, Peru",900
1962,"Faucett, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1963,"Divemotor Panamericana Sur, Lima, Peru","Faucett, Lima, Peru",0
1964,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1965,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1966,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1967,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1968,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1969,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1970,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1971,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1972,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1973,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1974,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",300
1975,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1976,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1977,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1978,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1979,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
1980,"Macropolis, Lima, Peru","Av. Canada, Lima, Peru",50
1981,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1982,"Juliaca, Peru","Arequipa, Peru",0
1983,"Lurin, Lima, Peru","Trujillo, Peru",300
1984,"Lurin, Lima, Peru","Trujillo, Peru",250
1985,"Lurin, Lima, Peru","Trujillo, Peru",600
1986,"Lurin, Lima, Peru","Trujillo, Peru",300
1987,"Lurin, Lima, Peru","Arequipa, Peru",300
1988,"Chosica, Lima, Peru","Macropolis, Lima, Peru",50
1989,"Lurin, Lima, Peru","Chiclayo, Peru",350
1990,"Lurin, Lima, Peru","Icalu, Lima, Peru",50
1991,"Av. Canada, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
1992,"Trujillo, Peru","Suc. Piura, Peru",300
1994,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1995,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1996,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1997,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1998,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
1999,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
2000,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
2001,"Icalu, Lima, Peru","Lurin, Lima, Peru",0
2002,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
2004,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
2005,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
2006,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
2007,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
2008,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
2009,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
2010,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
2011,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",0
2012,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
2014,"Macropolis, Lima, Peru","Famedi, Lima, Peru",50
2015,"Sahuanay & cia S.A.C, Lima, Peru","Macropolis, Lima, Peru",50
2019,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
2020,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
2021,"Macropolis, Lima, Peru","Solis, Lima, Peru",50
2028,"San Martin de Porres, Lima, Peru","Lurin, Lima, Peru",50
2035,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
2036,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
2038,"Macropolis, Lima, Peru","Faucett, Lima, Peru",50
2040,"Remsina sac, Lima, Peru","Macropolis, Lima, Peru",50
2041,"Lurin, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
2049,"Divemotor Panamericana Sur, Lima, Peru","Macropolis, Lima, Peru",50
2050,"MCM SOLUTIONS srl, Lima, Peru","Lurin, Lima, Peru",50
2052,"Macropolis, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
2053,"Macropolis, Lima, Peru","Nicolas Ayllon, Lima, Peru",50
2066,"Lurin, Lima, Peru","Faucett, Lima, Peru",50
2067,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
2068,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
2069,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
2070,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
2071,"Macropolis, Lima, Peru","Divemotor Panamericana Sur, Lima, Peru",50
2083,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
2084,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
2085,"Pesco, Lima, Peru","Lurin, Lima, Peru",50
